 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:2000
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Alfabetização de adultos";"Não determinada";"Total"
"150410 MAGALHAES BARATA";9,46;30,39;41,16;17,94;0,13;0,92;100,00
"150420 MARABA";15,38;18,71;30,67;33,89;0,21;1,14;100,00
"150430 MARACANA";13,89;32,42;36,84;15,28;0,29;1,28;100,00
"150440 MARAPANIM";9,40;32,51;38,48;19,22;-;0,39;100,00
"150442 MARITUBA";7,68;20,06;37,77;33,72;0,12;0,65;100,00
"150445 MEDICILANDIA";20,85;26,53;34,14;16,97;0,28;1,23;100,00
"150450 MELGACO";44,49;40,00;9,90;4,77;0,06;0,77;100,00
"150460 MOCAJUBA";11,82;29,17;37,15;20,76;-;1,11;100,00
"150470 MOJU";30,28;29,25;23,33;14,96;0,05;2,13;100,00
"150480 MONTE ALEGRE";14,65;31,20;36,01;17,71;0,09;0,35;100,00
"150490 MUANA";19,89;37,16;29,51;12,71;0,16;0,56;100,00
"150495 NOVA ESPERANCA DO PIRIA";30,35;42,82;21,97;3,60;0,09;1,18;100,00
"150497 NOVA IPIXUNA";23,62;28,52;32,82;13,61;-;1,43;100,00
"150500 NOVA TIMBOTEUA";18,08;27,65;29,22;23,22;-;1,83;100,00
"150503 NOVO PROGRESSO";17,01;30,38;38,97;12,83;0,18;0,63;100,00
"150506 NOVO REPARTIMENTO";28,77;29,63;28,67;11,46;-;1,47;100,00
"150510 OBIDOS";14,52;30,02;33,37;21,18;0,12;0,79;100,00
"150520 OEIRAS DO PARA";21,86;40,46;26,16;10,16;0,06;1,30;100,00
"150530 ORIXIMINA";13,98;24,05;33,69;27,35;-;0,93;100,00
"150540 OUREM";20,28;34,06;30,45;14,53;0,10;0,58;100,00
"150543 OURILANDIA DO NORTE";24,16;25,85;35,73;13,15;-;1,11;100,00
"150548 PACAJA";29,73;30,31;30,93;6,91;0,15;1,97;100,00
"150549 PALESTINA DO PARA";26,79;22,31;28,43;20,53;-;1,94;100,00
"150550 PARAGOMINAS";17,56;26,93;32,91;20,45;0,11;2,05;100,00
"150553 PARAUAPEBAS";13,62;20,73;32,90;31,85;0,02;0,87;100,00
"150555 PAU D'ARCO";28,65;24,02;34,57;11,71;-;1,05;100,00
"150560 PEIXE-BOI";14,19;40,08;26,16;19,21;-;0,36;100,00
"150563 PICARRA";25,75;33,47;31,81;8,04;-;0,92;100,00
"150565 PLACAS";21,25;26,92;39,52;11,98;-;0,34;100,00
"150570 PONTA DE PEDRAS";20,02;28,52;29,98;19,71;0,27;1,51;100,00
"150580 PORTEL";46,55;25,59;17,43;8,40;0,18;1,85;100,00
"150590 PORTO DE MOZ";31,17;34,61;22,16;11,15;0,15;0,75;100,00
"150600 PRAINHA";23,31;35,84;28,93;11,28;0,15;0,49;100,00
"150610 PRIMAVERA";15,86;32,54;33,29;17,26;-;1,04;100,00
"150611 QUATIPURU";13,42;41,34;33,33;11,55;-;0,35;100,00
"150613 REDENCAO";15,04;22,37;36,56;25,42;0,03;0,57;100,00
"150616 RIO MARIA";15,56;30,63;32,89;20,43;0,09;0,41;100,00
"150618 RONDON DO PARA";22,10;25,29;32,07;18,75;0,28;1,51;100,00
"150619 RUROPOLIS";23,52;25,38;33,42;16,68;0,08;0,93;100,00
"150620 SALINOPOLIS";11,52;25,72;36,02;26,18;-;0,56;100,00
"150630 SALVATERRA";9,94;28,16;39,69;21,60;0,12;0,49;100,00
"150635 SANTA BARBARA DO PARA";10,32;23,46;35,63;29,66;-;0,94;100,00
"150640 SANTA CRUZ DO ARARI";25,41;28,13;32,09;13,69;-;0,68;100,00
"150650 SANTA IZABEL DO PARA";8,66;23,78;33,94;32,99;0,04;0,59;100,00
"150655 SANTA LUZIA DO PARA";25,10;33,95;27,49;12,74;0,07;0,65;100,00
"150658 SANTA MARIA DAS BARREIRAS";31,82;31,75;25,53;10,17;0,28;0,44;100,00
"150660 SANTA MARIA DO PARA";19,40;28,25;28,81;21,67;0,06;1,81;100,00
"150670 SANTANA DO ARAGUAIA";18,97;27,51;34,50;18,23;0,13;0,65;100,00
"150680 SANTAREM";9,76;18,57;32,87;37,83;0,09;0,88;100,00
"150690 SANTAREM NOVO";12,95;35,83;34,68;14,22;-;2,32;100,00
"150700 SANTO ANTONIO DO TAUA";12,74;30,65;31,61;23,50;-;1,50;100,00
"150710 SAO CAETANO DE ODIVELAS";10,80;31,26;35,30;20,47;0,03;2,13;100,00
"150715 SAO DOMINGOS DO ARAGUAIA";25,44;26,76;30,79;16,28;0,11;0,63;100,00
"150720 SAO DOMINGOS DO CAPIM";27,78;32,60;27,28;11,08;0,06;1,21;100,00
"150730 SAO FELIX DO XINGU";24,22;28,96;33,26;12,35;0,09;1,13;100,00
"150740 SAO FRANCISCO DO PARA";12,87;29,40;33,52;23,55;0,04;0,62;100,00
"150745 SAO GERALDO DO ARAGUAIA";24,38;29,73;31,96;13,44;0,12;0,37;100,00
"150746 SAO JOAO DA PONTA";11,76;29,83;39,65;18,77;-;-;100,00
"150747 SAO JOAO DE PIRABAS";14,55;37,79;34,54;12,78;-;0,36;100,00
"150750 SAO JOAO DO ARAGUAIA";28,33;29,71;29,32;10,80;0,14;1,71;100,00
"150760 SAO MIGUEL DO GUAMA";16,57;30,27;32,25;19,61;0,16;1,15;100,00
"150770 SAO SEBASTIAO DA BOA VISTA";17,55;30,14;35,17;16,46;0,10;0,58;100,00
"150775 SAPUCAIA";17,52;29,20;37,35;15,84;-;0,08;100,00
"150780 SENADOR JOSE PORFIRIO";28,61;32,39;28,94;8,67;0,06;1,32;100,00
"150790 SOURE";9,97;24,72;34,22;29,69;-;1,40;100,00
"150795 TAILANDIA";23,26;30,58;32,74;13,31;-;0,12;100,00
"150796 TERRA ALTA";9,37;26,99;39,16;24,38;-;0,10;100,00
"150797 TERRA SANTA";12,68;23,60;34,72;27,72;0,15;1,13;100,00
"150800 TOME-ACU";19,57;30,42;31,88;17,70;0,11;0,31;100,00
"150803 TRACUATEUA";19,55;35,87;31,90;10,34;0,05;2,29;100,00
"150805 TRAIRAO";25,45;25,92;36,12;11,98;0,08;0,46;100,00
"150808 TUCUMA";17,58;26,85;35,85;18,96;0,08;0,68;100,00
"150810 TUCURUI";10,55;19,71;34,34;34,32;0,04;1,04;100,00
"150812 ULIANOPOLIS";21,29;33,90;32,96;11,61;0,05;0,18;100,00
"150815 URUARA";22,59;24,47;35,25;16,32;0,21;1,16;100,00
"150820 VIGIA";11,02;23,43;41,67;23,17;0,12;0,60;100,00
"150830 VISEU";25,34;37,83;26,41;8,91;0,13;1,38;100,00
"150835 VITORIA DO XINGU";27,17;25,84;30,93;14,45;0,28;1,32;100,00
"150840 XINGUARA";17,16;23,03;36,64;22,54;0,20;0,43;100,00
"160005 SERRA DO NAVIO";11,56;17,63;30,28;38,44;0,16;1,94;100,00
"160010 AMAPA";13,52;22,59;36,09;24,99;0,27;2,53;100,00
"160015 PEDRA BRANCA DO AMAPARI";27,04;25,63;25,41;20,95;0,18;0,79;100,00
"160020 CALCOENE";13,76;22,98;32,57;26,46;0,28;3,94;100,00
"160021 CUTIAS";16,70;17,50;41,25;23,86;-;0,69;100,00
"160023 FERREIRA GOMES";13,51;25,91;24,96;34,92;-;0,70;100,00
"160025 ITAUBAL";18,78;24,22;36,33;17,10;-;3,56;100,00
"160027 LARANJAL DO JARI";16,36;22,40;35,74;25,01;-;0,50;100,00
"160030 MACAPA";8,52;11,53;27,40;51,15;0,16;1,24;100,00
"160040 MAZAGAO";32,52;20,34;23,09;21,88;0,37;1,79;100,00
"160050 OIAPOQUE";12,95;19,61;34,51;29,29;0,08;3,55;100,00
"160053 PORTO GRANDE";19,69;17,37;33,64;28,88;-;0,41;100,00
"160055 PRACUUBA";14,23;28,54;42,28;14,47;-;0,49;100,00
"160060 SANTANA";15,04;14,53;28,77;39,35;0,12;2,18;100,00
"160070 TARTARUGALZINHO";17,16;25,31;38,10;17,16;0,16;2,10;100,00
"160080 VITORIA DO JARI";22,11;25,80;27,75;21,22;0,07;3,06;100,00
"170025 ABREULANDIA";22,37;19,15;36,05;21,75;0,21;0,48;100,00
"170030 AGUIARNOPOLIS";21,36;23,99;35,83;18,83;-;-;100,00
"170035 ALIANCA DO TOCANTINS";17,58;21,79;28,93;31,33;-;0,37;100,00
"170040 ALMAS";22,16;24,25;34,54;18,46;-;0,59;100,00
"170070 ALVORADA";16,09;19,81;30,62;32,30;0,14;1,05;100,00
"170100 ANANAS";18,03;25,24;29,85;25,56;-;1,32;100,00
"170105 ANGICO";15,78;24,17;34,44;22,22;0,78;2,61;100,00
"170110 APARECIDA DO RIO NEGRO";19,04;25,64;30,33;24,90;0,09;-;100,00
"170130 ARAGOMINAS";23,17;31,49;28,95;15,79;0,26;0,34;100,00
"170190 ARAGUACEMA";21,78;20,96;32,63;24,20;0,09;0,34;100,00
