"municipality","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Total"
"431120 JULIO DE CASTILHOS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
"431130 LAGOA VERMELHA",1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
"431140 LAJEADO",2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"431150 LAVRAS DO SUL",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"431175 MANOEL VIANA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431177 MAQUINE",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"431180 MARAU",10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"431213 MATO CASTELHANO",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"431220 MAXIMILIANO DE ALMEIDA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431235 MONTAURI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431237 MONTE ALEGRE DOS CAMPOS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431240 MONTENEGRO",14,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
"431245 MORRO REDONDO",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"431250 MOSTARDAS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431262 MULITERNO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431265 NAO-ME-TOQUE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431280 NOVA ARACA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"431290 NOVA BASSANO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431300 NOVA BRESCIA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431306 NOVA HARTZ",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431310 NOVA PALMA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431320 NOVA PETROPOLIS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431335 NOVA ROMA DO SUL",33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33
"431337 NOVA SANTA RITA",7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"431340 NOVO HAMBURGO",18,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,21
"431350 OSORIO",19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
"431365 PALMARES DO SUL",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"431370 PALMEIRA DAS MISSOES",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
"431380 PALMITINHO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431403 PARECI NOVO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431410 PASSO FUNDO",146,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,148
"431440 PELOTAS",335,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,335
"431450 PINHEIRO MACHADO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431460 PIRATINI",10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"431480 PORTAO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431490 PORTO ALEGRE",1069,72,-,7,4,-,-,-,-,-,-,37,29,7,-,-,-,-,1225
"431530 QUARAI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431560 RIO GRANDE",180,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,181
"431600 ROLANTE",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"431645 SALTO DO JACUI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431660 SANANDUVA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431680 SANTA CRUZ DO SUL",11,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
"431690 SANTA MARIA",4,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"431710 SANT'ANA DO LIVRAMENTO",14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
"431720 SANTA ROSA",4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"431730 SANTA VITORIA DO PALMAR",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"431760 SANTO ANTONIO DA PATRULHA",12,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,13
"431800 SAO BORJA",-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2
"431805 SAO DOMINGOS DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431830 SAO GABRIEL",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"431840 SAO JERONIMO",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,10
"431850 SAO JOSE DO NORTE",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"431861 SAO JOSE DO SUL",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431870 SAO LEOPOLDO",20,1,-,-,-,-,-,-,-,-,-,-,1,7,-,-,-,-,29
"431880 SAO LOURENCO DO SUL",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"431935 SAO PEDRO DA SERRA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431950 SAO SEBASTIAO DO CAI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"431975 SAO VENDELINO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"431990 SAPIRANGA",3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"432000 SAPUCAIA DO SUL",11,1,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,20
"432010 SARANDI",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"432032 SENADOR SALGADO FILHO",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"432040 SERAFINA CORREA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"432080 SOLEDADE",4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"432090 TAPEJARA",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"432110 TAPES",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"432120 TAQUARA",8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
"432130 TAQUARI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"432143 TERRA DE AREIA",18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
"432145 TEUTONIA",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"432149 TOROPI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"432150 TORRES",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3
"432160 TRAMANDAI",16,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,19
"432180 TRES DE MAIO",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"432195 TRINDADE DO SUL",-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,2
"432200 TRIUNFO",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"432215 TUNAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"432230 TUPARENDI",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"432240 URUGUAIANA",1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"432250 VACARIA",2,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4
"432252 VALE VERDE",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"432260 VENANCIO AIRES",13,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65
"432280 VERANOPOLIS",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"432300 VIAMAO",18,2,-,-,2,-,-,-,-,-,-,3,1,-,-,-,-,-,26
"432380 XANGRI-LA",9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
"500100 APARECIDA DO TABOADO",-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"500110 AQUIDAUANA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
"500190 BATAGUASSU",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500210 BELA VISTA",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"500240 CAARAPO",1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"500270 CAMPO GRANDE",12,3,-,-,1,-,-,-,-,-,-,-,1,9,-,-,-,-,26
"500290 CASSILANDIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500295 CHAPADAO DO SUL",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500315 CORONEL SAPUCAIA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"500320 CORUMBA",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"500345 DEODAPOLIS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"500370 DOURADOS",-,12,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,13
"500470 IVINHEMA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500500 JARDIM",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500540 MARACAJU",1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4
"500560 MIRANDA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500570 NAVIRAI",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500600 NOVA ALVORADA DO SUL",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"500620 NOVA ANDRADINA",3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4
"500630 PARANAIBA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"500730 RIO NEGRO",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"500740 RIO VERDE DE MATO GROSSO",-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"500795 TACURU",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"500830 TRES LAGOAS",6,26,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,33
"510010 ACORIZAL",-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"510025 ALTA FLORESTA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510125 ARAPUTANGA",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"510180 BARRA DO GARCAS",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"510250 CACERES",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2
"510267 CAMPO VERDE",4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
"510320 COLIDER",1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"510325 COLNIZA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"510330 COMODORO",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"510337 COTRIGUACU",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"510340 CUIABA",8,30,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,41
"510350 DIAMANTINO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510480 JACIARA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510500 JAURU",-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
"510515 JUINA",1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"510517 JURUENA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510525 LUCAS DO RIO VERDE",8,14,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,23
"510619 NOVA SANTA HELENA",1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"510621 NOVA CANAA DO NORTE",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"510622 NOVA MUTUM",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"510624 NOVA UBIRATA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"510625 NOVA XAVANTINA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510627 NOVO HORIZONTE DO NORTE",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510630 PARANATINGA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510642 PEIXOTO DE AZEVEDO",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510710 SAO JOSE DOS QUATRO MARCOS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510720 RIO BRANCO",-,4,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,6
"510729 SAO JOSE DO POVO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510760 RONDONOPOLIS",-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
"510785 SAO FELIX DO ARAGUAIA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"510787 SAPEZAL",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"510788 SERRA NOVA DOURADA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510790 SINOP",-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,-,-,4
"510792 SORRISO",57,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78
"510795 TANGARA DA SERRA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510820 TORIXOREU",-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"510840 VARZEA GRANDE",2,8,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,11
"510850 VERA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510885 NOVA MARILANDIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"510890 NOVA MARINGA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520025 AGUAS LINDAS DE GOIAS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"520080 ALVORADA DO NORTE",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520110 ANAPOLIS",20,5,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,27
"520140 APARECIDA DE GOIANIA",8,3,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,14
"520330 BELA VISTA DE GOIAS",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"520340 BOM JARDIM DE GOIAS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520485 CAMPO LIMPO DE GOIAS",5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
"520500 CARMO DO RIO VERDE",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"520510 CATALAO",8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10
"520540 CERES",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
"520547 CHAPADAO DO CEU",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
"520549 CIDADE OCIDENTAL",6,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7
"520551 COCALZINHO DE GOIAS",2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"520620 CRISTALINA",-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,2
"520640 CRIXAS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"520650 CROMINIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520710 DIORAMA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520735 EDEALINA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520800 FORMOSA",-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
"520815 GAMELEIRA DE GOIAS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"520870 GOIANIA",61,24,-,1,-,-,-,2,1,-,-,1,8,3,-,1,-,-,102
"520890 GOIAS",-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1
"521000 INHUMAS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521056 ITAGUARI",-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"521080 ITAJA",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521120 ITAPURANGA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521150 ITUMBIARA",-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"521180 JARAGUA",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3
"521190 JATAI",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"521250 LUZIANIA",108,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,111
"521270 MAMBAI",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2
"521300 MAURILANDIA",-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"521308 MINACU",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2
"521310 MINEIROS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"521350 MONTE ALEGRE DE GOIAS",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521375 MONTIVIDIU",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521380 MORRINHOS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
"521410 MUTUNOPOLIS",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521440 NAZARIO",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521450 NEROPOLIS",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521523 NOVO GAMA",9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11
"521530 ORIZONA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521550 OUVIDOR",2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"521560 PADRE BERNARDO",3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
"521710 PIRACANJUBA",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521720 PIRANHAS",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521800 PORANGATU",-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
"521830 POSSE",-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
"521860 RIALMA",-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
"521880 RIO VERDE",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
"521973 SANTO ANTONIO DE GOIAS",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"521975 SANTO ANTONIO DO DESCOBERTO",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"521990 SAO FRANCISCO DE GOIAS",1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2
"522010 SAO LUIS DE MONTES BELOS",-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,3
"522045 SENADOR CANEDO",1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"522060 SILVANIA",-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"522155 TURVELANDIA",-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
"522185 VALPARAISO DE GOIAS",23,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25
"522200 VIANOPOLIS",1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
"530010 BRASILIA",442,110,4,-,2,1,1,-,-,-,-,1,12,6,1,1,-,-,581
"Total",8311,2335,54,112,69,10,215,857,241,18,23,9338,21452,8170,723,128,34,19,52109
