 Escolaridade da população de 15 anos ou mais - Brasil
Distrib população p/escolarid por Município e Escolaridade
Período:1991
"Município";"Menos de 1 ano de estudo";"1 a 3 anos de estudo";"4 a 7 anos de estudo";"8 anos e mais de estudo";"Não determinada";"Total"
"210230 BURITI BRAVO";42,02;31,35;18,58;7,93;0,11;100,00
"210240 CAJAPIO";63,25;9,80;21,95;5,01;-;100,00
"210250 CAJARI";42,04;31,90;21,10;4,86;0,10;100,00
"210260 CANDIDO MENDES";42,43;29,51;22,36;5,70;-;100,00
"210270 CANTANHEDE";62,74;16,50;15,82;4,89;0,05;100,00
"210280 CAROLINA";32,32;26,76;26,51;14,42;-;100,00
"210290 CARUTAPERA";47,29;33,02;16,60;3,09;-;100,00
"210300 CAXIAS";48,55;17,10;20,13;14,17;0,04;100,00
"210310 CEDRAL";26,94;32,02;32,21;8,71;0,11;100,00
"210320 CHAPADINHA";47,29;20,42;18,69;13,55;0,04;100,00
"210330 CODO";54,21;20,27;16,30;9,12;0,10;100,00
"210340 COELHO NETO";45,10;23,18;23,51;8,21;-;100,00
"210350 COLINAS";45,51;24,14;21,03;9,21;0,11;100,00
"210360 COROATA";57,26;17,61;15,55;9,58;-;100,00
"210370 CURURUPU";35,16;26,24;28,72;9,89;-;100,00
"210380 DOM PEDRO";36,51;22,85;23,95;16,69;-;100,00
"210390 DUQUE BACELAR";49,03;26,08;15,40;9,48;-;100,00
"210400 ESPERANTINOPOLIS";53,07;25,58;14,57;6,79;-;100,00
"210405 ESTREITO";30,62;27,80;28,41;13,17;-;100,00
"210410 FORTALEZA DOS NOGUEIRAS";34,96;28,77;28,69;7,57;-;100,00
"210420 FORTUNA";43,67;23,07;22,36;10,90;-;100,00
"210430 GODOFREDO VIANA";42,65;33,49;18,68;5,18;-;100,00
"210440 GONCALVES DIAS";43,77;31,33;17,93;6,97;-;100,00
"210450 GOVERNADOR ARCHER";48,37;24,76;18,08;8,79;-;100,00
"210460 GOVERNADOR EUGENIO BARROS";61,57;19,01;13,79;5,63;-;100,00
"210470 GRACA ARANHA";44,20;23,48;22,05;10,27;-;100,00
"210480 GRAJAU";49,14;23,71;18,48;8,60;0,07;100,00
"210490 GUIMARAES";22,05;27,24;33,97;16,75;-;100,00
"210500 HUMBERTO DE CAMPOS";51,38;18,90;25,37;4,35;-;100,00
"210510 ICATU";56,41;23,06;16,24;4,28;-;100,00
"210520 IGARAPE GRANDE";44,52;24,97;21,14;9,37;-;100,00
"210530 IMPERATRIZ";28,01;19,28;30,28;22,35;0,08;100,00
